,140,150,160,220,250,350
130,37.2,52.2,63.6,106,121,115
125,45.7,58.6,68.9,109,123,158
110,65.3,74.9,83.2,119,132,164
90,85.6,93.1,99.9,131,143,173
85,90.1,97.3,107,134,146,176
80,94.4,101,108,137,149,178
75,98.7,105,111,140,151,180
80,103,109,115,143,154,182
65,107,113,119,146,157,185
60,111,117,122,149,159,187
55,115,120,126,152,162,189
50,118,124,129,155,165,192
45,122,128,133,158,168,194
40,126,131,136,160,170,196
35,130,135,140,163,173,199
30,133,138,143,166,176,201
25,137,142,146,169,179,204
